permitnum,description,issuedate,applieddate,statuscurrent,jurisdiction,statuscurrentmapped,statusdate,totalsqft,projectcost,contractorcompanyname,contractortrade,contractorzip,ownerzip,projectcost_6_2026,originalcity_validated,originalzip_validated
19-00000950,SOLAR PANELS,2019-01-24,2019-01-04,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-02-05,417,20700,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,27463.16,Cary,27519
19-00011463,SOLAR PANELS,2019-04-03,2019-01-04,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-16,627,22234,SIGORA SOLAR LLC,GENERAL CONTRACTOR,22903,27523,29498.35,Apex,27523
19-00020002,INSTALL SOLAR PANELS,2019-02-05,2019-01-08,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-05,4305,14229,8M SOLAR,UNLICENSED CONTRACTOR,27612,27606,18877.94,Raleigh,27606
19-00031624,SOLAR PV SYSTEM,2019-02-15,2019-01-10,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-01,422,17000,"SUN DOLLAR ENERGY, LLC",GENERAL CONTRACTOR,27616,27519,22554.28,Cary,27519
19-00041897,INSTALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-01-29,2019-01-11,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-02-14,790,32525,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27539,43151.65,Apex,27539
19-00051979,SOLAR PANELS,,2019-01-15,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2019-01-25,676,56375,,,,27513,74793.99,Cary,27513
19-00060005,INSTALL SOLAR SYSTEM,2019-02-05,2019-01-22,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-02-12,369,16601,8M SOLAR,UNLICENSED CONTRACTOR,27612,27519,22024.92,Cary,27519
19-00071408,INSTALL SOLAR SYSTEM,2019-03-26,2019-01-23,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-03,462,21779,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,28894.69,Cary,27519
19-00081885,RESIDENTIAL SOLAR PANELS,2019-02-28,2019-01-23,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2019-05-24,425,25000,U-SAVE SOLAR LLC,UNLICENSED CONTRACTOR,29229,27519,33168.07,Cary,27519
19-00090003,INSTALL SOLAR ARRAY,,2019-01-24,EXPIRED PERMIT (XP),TC,Permit Cancelled,2020-01-16,598,24990,8M SOLAR,UNLICENSED CONTRACTOR,27612,27606,33154.8,Raleigh,27606
19-00100011,SOLAR PV SYSTEM,2019-02-27,2019-01-24,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-15,528,21915,8M SOLAR,UNLICENSED CONTRACTOR,27612,27519,29075.13,Cary,27519
19-00110419,INSTALL SOLAR ARRAY,2019-02-27,2019-01-24,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-11,511,23324,8M SOLAR,GENERAL CONTRACTOR,27587,27519,30944.48,Cary,27519
19-00121486,INSTALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-02-18,2019-01-24,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-08,495,22567,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27560,27511,29940.15,Cary,27511
19-00131504,SOLAR PANELS,2019-02-18,2019-01-24,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-04,369,17066,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27519,22641.85,Cary,27519
